epoch,accuracy,loss,top_k_categorical_accuracy,val_accuracy,val_loss,val_top_k_categorical_accuracy,learning_rate
1,0.38070785999298096,1.6160587072372437,0.790179967880249,0.6194851994514465,1.1450724601745605,0.8739950060844421,9.999999747378752e-06
2,0.38057273626327515,1.6180915832519531,0.7899941802024841,0.6086750626564026,1.1605952978134155,0.874130129814148,9.999999747378752e-06
3,0.38140881061553955,1.6160317659378052,0.7902644276618958,0.607256293296814,1.1647183895111084,0.872103214263916,9.999999747378752e-06
4,0.3810541331768036,1.6147949695587158,0.7908133268356323,0.6009728908538818,1.1657633781433105,0.8761570453643799,9.999999747378752e-06
5,0.38308095932006836,1.6098732948303223,0.7912186980247498,0.6071887016296387,1.159321665763855,0.8746030926704407,4.999999873689376e-06
6,0.38635769486427307,1.6083136796951294,0.7908133268356323,0.6133369207382202,1.1512161493301392,0.8741976618766785,4.999999873689376e-06
7,0.3883507549762726,1.6057734489440918,0.7908387184143066,0.6124586462974548,1.14963698387146,0.8746706247329712,4.999999873689376e-06
8,0.3907153904438019,1.5997790098190308,0.791522741317749,0.6058374643325806,1.1583807468414307,0.8733869194984436,2.499999936844688e-06
9,0.3921426236629486,1.5982040166854858,0.7915565371513367,0.6013107299804688,1.1658518314361572,0.8738598823547363,2.499999936844688e-06
10,0.3914839029312134,1.5985736846923828,0.7915818691253662,0.6021214723587036,1.1645910739898682,0.8725085854530334,2.499999936844688e-06
11,0.3934262990951538,1.5953017473220825,0.7913369536399841,0.606242835521698,1.1601920127868652,0.8733193874359131,1.249999968422344e-06
12,0.39441436529159546,1.595561146736145,0.7917929887771606,0.6061752438545227,1.159019947052002,0.8729815483093262,1.249999968422344e-06
13,0.3951406478881836,1.594882607460022,0.7910075783729553,0.6075940728187561,1.158016324043274,0.872643768787384,1.249999968422344e-06
14,0.39556291699409485,1.5945411920547485,0.7912609577178955,0.6074589490890503,1.1576178073883057,0.8725761771202087,9.999999974752427e-07
15,0.39619630575180054,1.5940935611724854,0.7918943166732788,0.6061077117919922,1.159511685371399,0.8729140162467957,9.999999974752427e-07
16,0.39435526728630066,1.593257188796997,0.7915650010108948,0.6069859862327576,1.1584525108337402,0.8735220432281494,9.999999974752427e-07
17,0.39618784189224243,1.5934196710586548,0.7914889454841614,0.6088777780532837,1.1559362411499023,0.8728464245796204,9.999999974752427e-07
18,0.3954108953475952,1.5931307077407837,0.7917929887771606,0.6078643202781677,1.1565723419189453,0.8729815483093262,9.999999974752427e-07
19,0.39460015296936035,1.5933690071105957,0.7913200855255127,0.6059725880622864,1.1598180532455444,0.8727788925170898,9.999999974752427e-07
20,0.39620473980903625,1.5922127962112427,0.7917845249176025,0.6086075305938721,1.1551421880722046,0.8731842637062073,9.999999974752427e-07
21,0.39409345388412476,1.5918041467666626,0.7920463681221008,0.6078643202781677,1.1578248739242554,0.8735896348953247,9.999999974752427e-07
