epoch,accuracy,auc,loss,precision,recall,top_3_acc,val_accuracy,val_auc,val_loss,val_precision,val_recall,val_top_3_acc,learning_rate
47,0.391214,0.802494,1.602450,0.591072,0.048864,0.790720,0.603270,0.900010,1.167975,0.714270,0.444024,0.873117,0.000003
48,0.390192,0.802624,1.601414,0.593229,0.049278,0.791506,0.605905,0.900989,1.161908,0.718818,0.445443,0.873792,0.000003
49,0.393587,0.803812,1.598780,0.597316,0.052250,0.791033,0.606986,0.901318,1.159697,0.720705,0.447537,0.873117,0.000002
50,0.392624,0.804190,1.597862,0.598857,0.053103,0.791092,0.609689,0.901808,1.156983,0.720195,0.449362,0.873927,0.000002
51,0.393266,0.803980,1.597815,0.598403,0.052537,0.791050,0.611783,0.902165,1.154649,0.726783,0.446794,0.873117,0.000002
52,0.395698,0.804867,1.596088,0.604499,0.054691,0.790881,0.610094,0.901466,1.158870,0.723432,0.444294,0.872711,0.000001
53,0.394516,0.805609,1.593666,0.606337,0.055113,0.791337,0.612391,0.902167,1.154108,0.726736,0.449024,0.872644,0.000001
54,0.392903,0.805452,1.593471,0.608058,0.055696,0.791844,0.610567,0.902213,1.154512,0.724973,0.449159,0.873792,0.000001
55,0.395250,0.805278,1.594410,0.604100,0.055991,0.791109,0.612391,0.902631,1.152344,0.730697,0.446929,0.873860,0.000001
56,0.395318,0.805389,1.594432,0.601338,0.054674,0.791219,0.611851,0.902658,1.152938,0.730615,0.444362,0.874400,0.000001
57,0.394119,0.805268,1.594517,0.606024,0.054885,0.791430,0.610432,0.902107,1.154860,0.725636,0.449226,0.873049,0.000001
58,0.395090,0.805145,1.595013,0.610905,0.055544,0.791168,0.608540,0.901922,1.156488,0.722689,0.447402,0.873117,0.000001
59,0.395014,0.805364,1.594272,0.603527,0.056076,0.791793,0.612323,0.902590,1.152056,0.728089,0.449024,0.873792,0.000001
60,0.395647,0.805368,1.594774,0.603213,0.057402,0.791337,0.609013,0.901977,1.156249,0.722665,0.446997,0.873860,0.000001
61,0.396061,0.805653,1.593576,0.603240,0.055662,0.791852,0.606378,0.901120,1.161553,0.716862,0.445781,0.872914,0.000001
62,0.395808,0.805714,1.593077,0.608290,0.058373,0.791202,0.607459,0.901221,1.160562,0.718212,0.444970,0.873792,0.000001
63,0.396374,0.805618,1.593097,0.609172,0.056312,0.791455,0.609013,0.901671,1.157907,0.721748,0.445308,0.873319,0.000001
64,0.394617,0.805725,1.593377,0.607830,0.055459,0.791633,0.608945,0.901913,1.156447,0.721534,0.448686,0.873792,0.000001
65,0.393992,0.805370,1.593940,0.612977,0.056887,0.791725,0.609216,0.901983,1.155557,0.721409,0.449632,0.873725,0.000001
